Nama Produk,Harga,Jenis Penyedia,Lokasi,Vendor,Jumlah Terjual,Nilai TKDN (%),Lumen,Efikasi (lm/W),Voltase (V),Daya (Watt)
BANDELL SPR 90 W,4000000.00,UMKK,"KAB. SIDOARJO, JAWA TIMUR",AHYMSA DAMAR DELTA,2210,64.96,,,,
Swabalast 65 W HORI HLS-MR3,660000.00,UMKK,"KAB. DEMAK, JAWA TENGAH",LANCAR JAYA,400,30.47,,,265.00,65.00
STANG ORNAMEN 1.5 METER LENGKAP DENGAN KLEM GALVANIZED,550500.00,UMKK,"KOTA BEKASI, JAWA BARAT",RINGIN PUTRA WISESA,326,50.95,,,,
Kabel DX/LVTC Ukuran 2 x 10 Sqmm,12389.00,UMKK,"KOTA TANGERANG, BANTEN",CAKRA SINAR GEMILANG,0,96.79,,,,
Kabel DX/LVTC Ukuran 2 x 10 Sqmm,12389.00,UMKK,"KAB. SLEMAN, DAERAH ISTIMEWA YOGYAKARTA",AREA PUTRA KENCANA SEJAHTERA,0,96.79,,,,
LED Swabalast HLS-MR3 45W,555000.00,UMKK,"KOTA MEDAN, SUMATERA UTARA",INSPIRA KARYA MANDIRI,320,30.47,6.30,,240.00,45.00
BANDELL S09 RUSH120,4318919.00,UMKK,"KAB. SIDOARJO, JAWA TIMUR",AHYMSA DAMAR DELTA,2170,63.08,21.65,,,
Kabel DX/LVTC 2X10 sqmm (Terpasang),13050.00,UMKK,"KAB. SLEMAN, DAERAH ISTIMEWA YOGYAKARTA",DIPTA KRIYA,0,96.79,,,,
PANASONIC NNP10946 LUMINER LENGKAP LED 40W NEO AUTO DIMMING,2402973.00,UMKK,"KOTA SURABAYA, JAWA TIMUR",KARYA PUTRA ANDALAN,1167,40.62,,,,
Kabel DX/LVTC Ukuran 2 x 10 Sqmm,13500.00,UMKK,"KOTA BANDA ACEH, ACEH",ENAM PURNAMA,0,96.79,,,,
Lampu Penerangan Jalan Umum PJU LED ESUN ES404A - 40 Watt Non Smart System,1734235.00,UMKK,"KOTA SURABAYA, JAWA TIMUR",BERKAT ENERGI SOLLUSINDO,841,50.86,,,,
BASWARA JAGGO 90,3600000.00,UMKK,"KAB. GRESIK, JAWA TIMUR",CATUR SEKAWAN SENTOSA,1500,53.18,,,,90.00
PANASONIC LUMINER LENGKAP NNP11944 LED 60W NEO AUTO DIMMING,3726892.00,UMKK,"KOTA SAMARINDA, KALIMANTAN TIMUR",A TIGA PUTIH,1525,26.84,,,,
Tiang Oktagonal Tanam,2400000.00,UMKK,"KOTA SURABAYA, JAWA TIMUR",SETIA BUDI,1000,45.25,,,,
LED STREET LIGHT HLS-LDL-6D-60W,2972973.00,UMKK,"KOTA BEKASI, JAWA BARAT",TRICA DAYA,1166,46.29,,,,
"Stang Ornament PJU 3m, Hotdip Galvanis",699300.00,UMKK,"KOTA BEKASI, JAWA BARAT",TRI PUTRA TEKNIK,290,50.95,,,,
BASWARA JAGGO 40,2531532.00,UMKK,"KAB. GRESIK, JAWA TIMUR",CATUR SEKAWAN SENTOSA,1000,55.11,,,,
BANDELL SPR 150 SMARTSYSTEM PLC,8316216.00,UMKK,"KAB. SIDOARJO, JAWA TIMUR",AHYMSA DAMAR DELTA,2500,62.18,,,,
MINI PETRUK PJ-1230- 15W-AC,883000.00,UMKK,"KAB. SLEMAN, DAERAH ISTIMEWA YOGYAKARTA",WAHANA LENTERA ABADI,336,41.11,,,,
BANDELL NBR 20,945946.00,UMKK,"KAB. SIDOARJO, JAWA TIMUR",AHYMSA DAMAR DELTA,350,55.18,3.48,,,
PANASONIC NNP10844 LUMINER LENGKAP LED 20W NEO AUTO DIMMING,1600000.00,UMKK,"KOTA BEKASI, JAWA BARAT",BUNGA BINTAN PERSADA,582,26.35,,,,
Pengadaan dan Pemasangan LED Street Light Panasonic NNP10845 Luminer Lengkap LED 30 Watt NEO,2800000.00,UMKK,"KAB. TANAH BUMBU, KALIMANTAN SELATAN",MAHAKARYA PUTRA PERKASA,872,26.34,3.60,,240.00,
BANDELL NBR 30,1396397.00,UMKK,"KAB. SIDOARJO, JAWA TIMUR",AHYMSA DAMAR DELTA,450,63.29,,,,
BANDELL NBR 20 WATT,945946.00,UMKK,"KOTA BALIKPAPAN, KALIMANTAN TIMUR",CAKRA BORNEO AMANAH,300,55.18,,136.00,,20.00
Kabel Udara Twisted 2 x 16 mm,17000.00,UMKK,"KAB. PEKALONGAN, JAWA TENGAH",SURYA ARJUNA UTAMA,0,96.30,,,,
BANDELL SPR 90  SMARTSYSTEM,5991081.00,UMKK,"KAB. SIDOARJO, JAWA TIMUR",AHYMSA DAMAR DELTA,1521,63.39,,,,
BRP331 LED36 CW R5N PC PSU S1 SPD,1506560.00,UMKK,"KOTA PALEMBANG, SUMATERA SELATAN",TERANG ABADI SRIWIJAYA,454,32.57,,,,
BANDELL RUSH 40 WATT,2963964.00,UMKK,"KOTA BALIKPAPAN, KALIMANTAN TIMUR",CAKRA BORNEO AMANAH,834,66.01,,146.00,,40.00
Kabel LTVC 2 x 10 mm,17900.00,UMKK,"KOTA SEMARANG, JAWA TENGAH",TIBER PANGESTU,0,96.79,,,,
Kabel DX/LVTC Ukuran 2 x 16 Sqmm,18336.00,UMKK,"KAB. SLEMAN, DAERAH ISTIMEWA YOGYAKARTA",AREA PUTRA KENCANA SEJAHTERA,0,96.79,,,,
CityStar LED Roadlight 40W,1081081.00,UMKK,"KOTA BANDUNG, JAWA BARAT",GUNA SUMBER CAHAYA,294,32.29,,,,
BANDELL S09 RUSH40,2963964.00,UMKK,"KAB. SIDOARJO, JAWA TIMUR",AHYMSA DAMAR DELTA,743,66.01,,,,
Kabel DX 2 x 10 mm dengan Accesroris PJU (Meterisasi),18640.00,UMKK,"KAB. DEMAK, JAWA TENGAH",IZZA ELEKTRIKA JAYA,0,98.05,,,,
POWERLED PSl1205 MODEL SMD 40W,2657658.00,UMKK,"KOTA ADM. JAKARTA BARAT, DKI JAKARTA",KHARISMA SINARLINDO PERSADA,654,55.84,,,,
HORI LED PJU HLS-LDL-8D-40W,1895000.00,UMKK,"KOTA MEDAN, SUMATERA UTARA",INSPIRA KARYA MANDIRI,474,36.12,,,,
PANASONIC LUMINER LENGKAP NNP10946 LED 40W NEO AUTO DIMMING,2400000.00,UMKK,"KOTA SAMARINDA, KALIMANTAN TIMUR",A TIGA PUTIH,578,32.02,,,,
MORADON LAMPU JALAN LED STREETLIGHT SERIES - E (SLE),2900000.00,UMKK,"KOTA MEDAN, SUMATERA UTARA",PURWA CATURDASA,675,46.69,,,265.00,
'Kabel DX/LVTC Ukuran 2 x 16 Sqmm,19133.00,UMKK,"KOTA YOGYAKARTA, DAERAH ISTIMEWA YOGYAKARTA",RELLIS MULTI ENERGI,0,96.79,,,,
